,Year,Female,Male,Total,country
0,1950,66.73,64.50,65.57,IRL
1,1951,66.11,63.51,64.75,IRL
2,1952,68.69,65.77,67.16,IRL
3,1953,69.22,66.69,67.91,IRL
4,1954,69.70,66.46,68.00,IRL
5,1955,69.65,66.48,68.00,IRL
6,1956,70.72,67.34,68.96,IRL
7,1957,70.64,67.49,69.00,IRL
8,1958,71.13,67.57,69.27,IRL
9,1959,71.42,67.60,69.42,IRL
10,1960,71.99,68.48,70.17,IRL
11,1961,71.60,67.85,69.64,IRL
12,1962,72.11,67.97,69.95,IRL
13,1963,72.26,68.29,70.19,IRL
14,1964,72.59,68.49,70.45,IRL
15,1965,72.94,68.55,70.64,IRL
16,1966,72.44,68.10,70.15,IRL
17,1967,73.52,69.08,71.20,IRL
18,1968,73.27,68.72,70.88,IRL
19,1969,73.08,68.72,70.80,IRL
20,1970,73.33,68.58,70.83,IRL
21,1971,74.18,69.29,71.62,IRL
22,1972,73.57,68.59,70.96,IRL
23,1973,73.88,68.72,71.17,IRL
24,1974,73.84,68.64,71.11,IRL
25,1975,74.46,69.17,71.69,IRL
26,1976,74.47,69.36,71.80,IRL
27,1977,74.63,69.49,71.94,IRL
28,1978,74.77,69.35,71.93,IRL
29,1979,75.29,69.39,72.18,IRL
30,1980,75.39,69.93,72.54,IRL
31,1981,75.88,70.16,72.89,IRL
32,1982,76.09,70.47,73.16,IRL
33,1983,76.22,70.40,73.18,IRL
34,1984,76.55,70.91,73.62,IRL
35,1985,76.63,70.76,73.56,IRL
36,1986,76.62,70.85,73.61,IRL
37,1987,77.36,71.65,74.41,IRL
38,1988,77.32,71.70,74.43,IRL
39,1989,77.30,71.74,74.45,IRL
40,1990,77.72,72.11,74.84,IRL
41,1991,77.90,72.29,75.03,IRL
42,1992,78.29,72.68,75.43,IRL
43,1993,78.16,72.56,75.29,IRL
44,1994,78.65,73.05,75.80,IRL
45,1995,78.31,72.76,75.48,IRL
46,1996,78.70,73.06,75.83,IRL
47,1997,78.67,73.36,75.98,IRL
48,1998,79.08,73.40,76.19,IRL
49,1999,78.84,73.42,76.09,IRL
50,2000,79.18,73.94,76.54,IRL
51,2001,79.76,74.48,77.10,IRL
52,2002,80.27,74.95,77.59,IRL
53,2003,80.56,75.63,78.11,IRL
54,2004,80.99,76.01,78.51,IRL
55,2005,81.18,76.60,78.91,IRL
56,2006,81.53,76.76,79.15,IRL
57,2007,81.86,77.24,79.57,IRL
58,2008,82.08,77.48,79.79,IRL
59,2009,82.47,77.68,80.09,IRL
60,2010,82.84,78.31,80.60,IRL
61,2011,82.88,78.52,80.73,IRL
62,2012,82.99,78.68,80.85,IRL
63,2013,83.10,79.00,81.07,IRL
64,2014,83.45,79.34,81.42,IRL
65,2015,83.44,79.62,81.55,IRL
66,2016,83.60,79.77,81.70,IRL
67,2017,83.92,80.27,82.11,IRL
68,2018,83.98,80.24,82.12,IRL
69,2019,84.38,80.40,82.39,IRL
70,2020,84.14,80.56,82.35,IRL
0,1933,62.80,59.19,60.90,USA
1,1934,62.30,58.29,60.19,USA
2,1935,63.05,58.98,60.91,USA
3,1936,62.60,58.35,60.35,USA
4,1937,63.35,58.98,61.03,USA
5,1938,64.54,60.46,62.39,USA
6,1939,65.24,61.12,63.07,USA
7,1940,65.55,61.13,63.22,USA
8,1941,66.26,61.58,63.79,USA
9,1942,67.13,62.21,64.54,USA
10,1943,66.96,61.97,64.36,USA
11,1944,67.73,62.51,65.06,USA
12,1945,68.35,62.97,65.59,USA
13,1946,68.88,63.59,66.13,USA
14,1947,69.55,64.32,66.80,USA
15,1948,70.07,64.66,67.22,USA
16,1949,70.52,65.02,67.63,USA
17,1950,71.01,65.40,68.06,USA
18,1951,71.22,65.41,68.17,USA
19,1952,71.50,65.54,68.38,USA
20,1953,71.91,65.80,68.72,USA
21,1954,72.70,66.57,69.50,USA
22,1955,72.80,66.58,69.56,USA
23,1956,72.95,66.61,69.64,USA
24,1957,72.74,66.36,69.41,USA
25,1958,73.00,66.60,69.67,USA
26,1959,73.31,66.75,69.90,USA
27,1960,73.30,66.62,69.82,USA
28,1961,73.71,67.04,70.24,USA
29,1962,73.59,66.88,70.11,USA
30,1963,73.50,66.63,69.94,USA
31,1964,73.81,66.82,70.19,USA
32,1965,73.93,66.80,70.25,USA
33,1966,73.97,66.69,70.21,USA
34,1967,74.33,66.94,70.52,USA
35,1968,74.08,66.55,70.21,USA
36,1969,74.40,66.77,70.48,USA
37,1970,74.65,67.02,70.74,USA
38,1971,74.98,67.39,71.10,USA
39,1972,75.11,67.42,71.18,USA
40,1973,75.32,67.62,71.40,USA
41,1974,75.85,68.18,71.96,USA
42,1975,76.46,68.72,72.54,USA
43,1976,76.68,69.08,72.85,USA
44,1977,77.09,69.41,73.23,USA
45,1978,77.23,69.62,73.41,USA
46,1979,77.66,70.01,73.83,USA
47,1980,77.48,69.98,73.74,USA
48,1981,77.80,70.41,74.12,USA
49,1982,78.08,70.80,74.47,USA
50,1983,78.09,70.97,74.56,USA
51,1984,78.17,71.12,74.68,USA
52,1985,78.18,71.08,74.66,USA
53,1986,78.27,71.14,74.74,USA
54,1987,78.36,71.31,74.88,USA
55,1988,78.31,71.32,74.85,USA
56,1989,78.56,71.60,75.13,USA
57,1990,78.85,71.85,75.40,USA
58,1991,78.97,72.03,75.55,USA
59,1992,79.18,72.32,75.81,USA
60,1993,78.94,72.17,75.60,USA
61,1994,79.06,72.39,75.77,USA
62,1995,79.08,72.59,75.88,USA
63,1996,79.22,73.07,76.20,USA
64,1997,79.38,73.54,76.53,USA
65,1998,79.43,73.81,76.69,USA
66,1999,79.35,73.92,76.70,USA
67,2000,79.43,74.12,76.84,USA
68,2001,79.52,74.27,76.95,USA
69,2002,79.58,74.35,77.02,USA
70,2003,79.70,74.53,77.17,USA
71,2004,80.06,74.96,77.57,USA
72,2005,80.07,74.95,77.56,USA
73,2006,80.33,75.24,77.83,USA
74,2007,80.56,75.51,78.08,USA
75,2008,80.59,75.65,78.16,USA
76,2009,80.91,76.02,78.51,USA
77,2010,81.07,76.25,78.70,USA
78,2011,81.07,76.32,78.74,USA
79,2012,81.18,76.45,78.85,USA
80,2013,81.19,76.45,78.85,USA
81,2014,81.27,76.50,78.92,USA
82,2015,81.15,76.34,78.76,USA
83,2016,81.19,76.24,78.73,USA
84,2017,81.19,76.19,78.70,USA
