,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex,country
0,1950-1959,0,0.03914,0.03791,0.17,100000,3791,96871,6775101,67.75,IRL
1,1950-1959,1-4,0.00181,0.00721,1.50,96209,694,383102,6678229,69.41,IRL
2,1950-1959,5-9,0.00062,0.00309,2.24,95515,295,476762,6295127,65.91,IRL
3,1950-1959,10-14,0.00050,0.00251,2.59,95220,239,475523,5818366,61.10,IRL
4,1950-1959,15-19,0.00088,0.00438,2.73,94981,416,473961,5342843,56.25,IRL
5,1950-1959,20-24,0.00131,0.00655,2.62,94565,620,471351,4868882,51.49,IRL
6,1950-1959,25-29,0.00161,0.00803,2.62,93945,754,467934,4397531,46.81,IRL
7,1950-1959,30-34,0.00203,0.01011,2.55,93191,942,463649,3929597,42.17,IRL
8,1950-1959,35-39,0.00267,0.01325,2.58,92249,1222,458289,3465949,37.57,IRL
9,1950-1959,40-44,0.00365,0.01810,2.54,91027,1648,451080,3007660,33.04,IRL
10,1950-1959,45-49,0.00544,0.02686,2.62,89379,2400,441183,2556580,28.60,IRL
11,1950-1959,50-54,0.00914,0.04473,2.59,86979,3890,425519,2115397,24.32,IRL
12,1950-1959,55-59,0.01335,0.06469,2.59,83089,5375,402497,1689878,20.34,IRL
13,1950-1959,60-64,0.02183,0.10357,2.53,77714,8049,368688,1287381,16.57,IRL
14,1950-1959,65-69,0.03288,0.15219,2.56,69665,10602,322499,918693,13.19,IRL
15,1950-1959,70-74,0.05728,0.25177,2.60,59063,14870,259591,596194,10.09,IRL
16,1950-1959,75-79,0.09103,0.36864,2.42,44193,16291,178968,336603,7.62,IRL
17,1950-1959,80-84,0.14332,0.52163,2.39,27901,14554,101552,157635,5.65,IRL
18,1950-1959,85-89,0.21448,0.66545,2.15,13347,8882,41412,56082,4.20,IRL
19,1950-1959,90-94,0.28300,0.76657,2.01,4465,3423,12095,14670,3.29,IRL
20,1950-1959,95-99,0.39353,0.87518,1.83,1042,912,2318,2575,2.47,IRL
21,1950-1959,100-104,0.50042,0.93069,1.63,130,121,242,257,1.97,IRL
22,1950-1959,105-109,0.60689,0.96163,1.45,9,9,14,15,1.64,IRL
23,1950-1959,110+,0.69038,1.00000,1.45,0,0,1,1,1.45,IRL
24,1960-1969,0,0.02605,0.02547,0.13,100000,2547,97780,7039978,70.40,IRL
25,1960-1969,1-4,0.00099,0.00396,1.57,97453,386,388872,6942198,71.24,IRL
26,1960-1969,5-9,0.00043,0.00214,2.35,97067,208,484783,6553326,67.51,IRL
27,1960-1969,10-14,0.00033,0.00165,2.48,96859,159,483891,6068543,62.65,IRL
